CASE_ID,ACCIDENT_YEAR,PROC_DATE,JURIS,COLLISION_DATE,COLLISION_TIME,OFFICER_ID,REPORTING_DISTRICT,DAY_OF_WEEK,CHP_SHIFT,POPULATION,CNTY_CITY_LOC,SPECIAL_COND,BEAT_TYPE,CHP_BEAT_TYPE,CITY_DIVISION_LAPD,CHP_BEAT_CLASS,BEAT_NUMBER,PRIMARY_RD,SECONDARY_RD,DISTANCE,DIRECTION,INTERSECTION,WEATHER_1,WEATHER_2,STATE_HWY_IND,CALTRANS_COUNTY,CALTRANS_DISTRICT,STATE_ROUTE,ROUTE_SUFFIX,POSTMILE_PREFIX,POSTMILE,LOCATION_TYPE,RAMP_INTERSECTION,SIDE_OF_HWY,TOW_AWAY,COLLISION_SEVERITY,NUMBER_KILLED,NUMBER_INJURED,PARTY_COUNT,PRIMARY_COLL_FACTOR,PCF_CODE_OF_VIOL,PCF_VIOL_CATEGORY,PCF_VIOLATION,PCF_VIOL_SUBSECTION,HIT_AND_RUN,TYPE_OF_COLLISION,MVIW,PED_ACTION,ROAD_SURFACE,ROAD_COND_1,ROAD_COND_2,LIGHTING,CONTROL_DEVICE,CHP_ROAD_TYPE,PEDESTRIAN_ACCIDENT,BICYCLE_ACCIDENT,MOTORCYCLE_ACCIDENT,TRUCK_ACCIDENT,NOT_PRIVATE_PROPERTY,ALCOHOL_INVOLVED,STWD_VEHTYPE_AT_FAULT,CHP_VEHTYPE_AT_FAULT,COUNT_SEVERE_INJ,COUNT_VISIBLE_INJ,COUNT_COMPLAINT_PAIN,COUNT_PED_KILLED,COUNT_PED_INJURED,COUNT_BICYCLIST_KILLED,COUNT_BICYCLIST_INJURED,COUNT_MC_KILLED,COUNT_MC_INJURED,PRIMARY_RAMP,SECONDARY_RAMP,LATITUDE,LONGITUDE,COUNTY,CITY,POINT_X,POINT_Y
6293005,2016,2017-12-06,4305,2016-08-29,1215,338,10,1,5,4,4305,0,0,0,,0,002,"FOOTHILL EXPWY","SAINT JOSEPH AV",1170.00,W,N,A,-,N,,,,,,,,,,Y,1,1,0,1,A,-,06,21755,A,N,E,I,A,A,H,-,A,D,0,,,,,Y,,A,01,0,0,0,0,0,0,0,0,0,"- ","- ",,,"SANTA CLARA","LOS ALTOS",-122.08093864999999,37.34765676
6787125,2015,2015-02-20,4305,2015-01-04,1503,309,,7,5,4,4305,0,0,0,,0,002,"FREMONT AV","A ST",0.00,,Y,B,-,N,,,,,,,,,,Y,3,0,1,2,A,-,12,21453,A,N,D,C,A,A,H,-,A,A,0,,,,,Y,,A,07,0,1,0,0,0,0,0,0,0,"- ","- ",,,"SANTA CLARA","LOS ALTOS",-122.08740993000001,37.352809980000004
6790064,2015,2015-02-20,4305,2015-01-05,1600,357,10,1,5,4,4305,0,0,0,,0,0B2,"MIRAMONTE AV","DOLORES AV",52.00,N,N,A,-,N,,,,,,,,,,Y,4,0,1,2,A,-,08,22107,,N,D,C,A,A,H,-,A,A,0,,,,,Y,,A,08,0,0,1,0,0,0,0,0,0,"- ","- ",,,"SANTA CLARA","LOS ALTOS",-122.08685629999999,37.354422769999999
6808775,2015,2016-09-07,4305,2015-02-07,1720,TCHANG,,6,5,4,4305,0,0,0,,0,,"EL CAMINO REAL","DEL MEDIO AV",24.00,N,N,A,-,Y,SCL,4,82,-,-,22.110,H,-,S,N,4,0,1,2,A,-,08,22107,,N,C,G,A,A,H,-,A,A,0,,Y,,,Y,,L,04,0,0,1,0,0,0,1,0,0,"- ","- ",,,"SANTA CLARA","LOS ALTOS",-122.11717023,37.403648230000002
6809978,2015,2016-10-14,9330,2015-01-13,0640,018129,,2,1,4,4305,0,1,1,,2,074,"RT 280","FOOTHILL EXPWY",5280.00,N,N,A,-,Y,SCL,4,280,-,-,12.480,H,-,N,Y,2,0,3,4,D,-,00,,,F,B,C,A,A,H,-,D,D,1,,,,,Y,,-,"- ",2,0,1,0,0,0,0,0,0,"- ","- ",,,"SANTA CLARA","LOS ALTOS",-122.08446594,37.33813808
6812074,2015,2015-03-04,4305,2015-01-25,1147,359,1,7,5,4,4305,0,0,0,,0,004,"ALMOND AV","FREDERICK CT",20.00,W,N,A,-,N,,,,,,,,,,N,3,0,1,1,B,-,22,,,N,H,A,A,A,H,-,A,D,0,,Y,,,Y,,L,04,0,1,0,0,0,0,1,0,0,"- ","- ",,,"SANTA CLARA","LOS ALTOS",-122.11193886,37.384979999999999
6830412,2015,2015-03-06,4305,2015-01-27,1734,341,,2,5,4,4305,0,0,0,,0,002,"FOOTHILL EXPWY","LOYOLA DR",528.00,E,N,A,-,N,,,,,,,,,,N,2,0,1,2,A,-,00,21760,C,N,C,G,A,A,H,-,B,D,0,,Y,,,Y,,A,01,1,0,0,0,0,0,1,0,0,"- ","- ",,,"SANTA CLARA","LOS ALTOS",-122.08631516,37.35163455
6830630,2015,2015-03-19,4305,2015-02-13,0819,341,,5,5,4,4305,0,0,0,,0,002,"HOMESTEAD RD","EL SERENO AV",2.00,W,N,A,-,N,,,,,,,,,,N,3,0,1,2,D,-,00,,,N,D,G,A,A,H,-,A,D,0,,Y,,,Y,,-,"- ",0,1,0,0,0,0,1,0,0,"- ","- ",,,"SANTA CLARA","LOS ALTOS",-122.06780513,37.337973660000003
6835020,2015,2015-03-12,4305,2015-02-10,1022,341,,2,5,4,4305,0,0,0,,0,001,"FOOTHILL EXPY","MAIN ST",32.00,E,N,A,-,N,,,,,,,,,,Y,3,0,1,2,A,-,09,21801,A,N,A,C,A,A,H,-,A,A,0,,,,,Y,,A,01,0,1,0,0,0,0,0,0,0,"- ","- ",,,"SANTA CLARA","LOS ALTOS",-122.11835034000001,37.377416099999998
6835021,2015,2015-03-12,4305,2015-02-13,1559,309,SCCJD,5,5,4,4305,0,0,0,,0,001,"SAN ANTONIO RD","SHERWOOD AV",128.00,N,N,A,-,N,,,,,,,,,,Y,4,0,1,2,A,-,03,22350,,N,C,C,A,A,H,-,A,D,0,,,,,Y,,A,01,0,0,1,0,0,0,0,0,0,"- ","- ",,,"SANTA CLARA","LOS ALTOS",-122.1143,37.398831639999997
