CASE_ID,PARTY_NUMBER,PARTY_TYPE,AT_FAULT,PARTY_SEX,PARTY_AGE,PARTY_SOBRIETY,PARTY_DRUG_PHYSICAL,DIR_OF_TRAVEL,PARTY_SAFETY_EQUIP_1,PARTY_SAFETY_EQUIP_2,FINAN_RESPONS,SP_INFO_1,SP_INFO_2,SP_INFO_3,OAF_VIOLATION_CODE,OAF_VIOL_CAT,OAF_VIOL_SECTION,OAF_VIOLATION_SUFFIX,OAF_1,OAF_2,PARTY_NUMBER_KILLED,PARTY_NUMBER_INJURED,MOVE_PRE_ACC,VEHICLE_YEAR,VEHICLE_MAKE,STWD_VEHICLE_TYPE,CHP_VEH_TYPE_TOWING,CHP_VEH_TYPE_TOWED,RACE,INATTENTION,SPECIAL_INFO_F,SPECIAL_INFO_G,ACCIDENT_YEAR
6293005,1,1,Y,M,57,A,-,E,L,B,Y,-,-,-,-,"- ",,,N,-,1,0,C,2006,MERCEDES-BENZ,A,"1 ",,W,,-,-,2016
6787125,1,1,Y,M,51,A,-,W,M,G,Y,-,3,-,-,"- ",,,N,-,0,0,B,2000,MITSUBISHI,A,"7 ",,W,,-,-,2015
6787125,2,1,N,F,42,A,-,N,M,G,Y,-,3,-,-,"- ",,,N,-,0,1,B,2009,CHEVROLET,A,"7 ",,W,,-,-,2015
6790064,1,1,Y,M,81,A,-,N,M,G,Y,-,3,-,-,"- ",,,N,-,0,0,L,2011,TOYOTA,A,"8 ",,W,,-,-,2015
6790064,2,1,N,F,58,A,-,N,M,G,Y,-,3,-,-,"- ",,,N,-,0,1,B,2011,BMW,A,"1 ",,W,,-,-,2015
6808775,1,4,Y,F,62,A,-,S,-,-,O,-,3,-,-,"- ",,,N,-,0,1,J,,-,L,"4 ",,W,,-,-,2015
6808775,2,1,N,M,46,A,-,S,M,E,Y,-,3,-,-,"- ",,,N,-,0,0,B,2001,MITSUBISHI,A,"1 ",,A,,-,-,2015
6809978,1,1,N,M,57,A,-,N,P,G,Y,-,3,-,-,"- ",,,N,-,0,2,J,1995,VOLKSWAGEN,A,"1 ",,H,,-,-,2015
6809978,2,1,N,M,38,A,-,N,P,G,Y,-,3,-,-,"- ",,,N,-,0,1,H,1998,VOLKSWAGEN,A,"1 ",,W,,-,-,2015
6809978,3,1,N,M,32,A,-,N,M,G,Y,-,3,-,-,"- ",,,N,-,0,0,J,2004,SCION,A,"1 ",,H,,-,-,2015
6809978,4,1,N,M,55,A,-,N,M,G,Y,-,3,-,-,"- ",,,N,-,0,0,H,2013,TOYOTA,A,"1 ",,A,,-,-,2015
6812074,1,4,Y,M,36,A,-,E,-,-,O,-,-,-,-,"- ",,,N,-,0,1,B,,-,L,"4 ",,W,,-,-,2015
6830412,1,1,Y,F,49,A,-,E,M,G,Y,-,3,-,-,"- ",,,N,-,0,0,C,2002,HONDA,A,"1 ",,H,,-,-,2015
6830412,2,4,N,M,61,A,-,E,-,-,O,-,3,-,-,"- ",,,N,-,0,1,B,,-,L,"4 ",,W,,-,-,2015
6830630,1,4,N,M,51,A,-,W,-,-,O,-,3,-,-,"- ",,,E,G,0,1,B,,-,L,"4 ",,W,,-,-,2015
6830630,2,1,N,M,30,A,-,S,M,G,Y,-,3,-,-,"- ",,,E,G,0,0,E,2006,GMC,D,22,,W,,-,-,2015
6835020,1,1,Y,M,24,A,-,S,M,G,Y,-,3,-,-,"- ",,,N,-,0,0,E,2011,BMW,A,"1 ",,A,,-,-,2015
6835020,2,1,N,M,56,A,-,N,L,G,Y,-,3,-,-,"- ",,,N,-,0,1,B,2014,MERCEDES-BENZ,A,"7 ",,O,,-,-,2015
6835021,1,1,Y,M,51,A,-,N,M,G,Y,-,3,-,-,"- ",,,N,-,0,0,B,2008,BMW,A,"1 ",,W,,-,-,2015
6835021,2,1,N,F,43,A,-,N,M,G,Y,-,3,-,-,"- ",,,N,-,0,1,B,2002,ACURA,A,"7 ",,B,,-,-,2015
6837599,1,1,Y,M,89,A,-,W,M,G,Y,-,3,-,-,"- ",,,N,-,0,0,B,2007,LEXUS,A,"1 ",,W,,-,-,2015
6837599,2,2,N,F,53,A,-,S,-,-,O,-,3,-,-,"- ",,,N,-,0,1,R,,-,N,60,,W,,-,-,2015
6837599,3,2,N,M,66,A,-,S,-,-,O,-,3,-,-,"- ",,,N,-,0,0,R,,-,N,60,,W,,-,-,2015
6837849,1,1,Y,F,51,A,-,S,L,G,Y,-,3,-,-,"- ",,,N,-,0,0,B,1994,HONDA,A,"1 ",,W,,-,-,2015
6837849,2,1,N,M,68,A,-,W,L,G,Y,-,3,-,-,"- ",,,N,-,0,1,B,2013,LEXUS,A,"1 ",,W,,-,-,2015
6837849,3,1,N,M,35,A,-,E,M,G,Y,-,3,-,-,"- ",,,N,-,0,0,A,2006,DODGE,A,"1 ",,H,,-,-,2015
6852138,1,1,Y,M,27,A,-,W,L,G,Y,-,3,-,,24,22450,A,A,-,0,2,C,2012,ACURA,A,"1 ",,H,,-,-,2015
6860498,1,1,Y,F,29,A,-,W,M,G,Y,-,3,-,-,"- ",,,N,-,0,0,P,2011,AUDI,A,"1 ",,W,,-,-,2015
