CASE_ID,PARTY_NUMBER,VICTIM_NUMBER,VICTIM_ROLE,VICTIM_SEX,VICTIM_AGE,VICTIM_DEGREE_OF_INJURY,VICTIM_SEATING_POSITION,VICTIM_SAFETY_EQUIP_1,VICTIM_SAFETY_EQUIP_2,VICTIM_EJECTED,COUNTY,CITY,ACCIDENT_YEAR
6293005,1,1,1,M,57,1,1,L,B,0,"SANTA CLARA","LOS ALTOS",2016
6787125,2,1,1,F,42,3,1,M,G,0,"SANTA CLARA","LOS ALTOS",2015
6790064,1,1,2,F,79,0,3,M,F,0,"SANTA CLARA","LOS ALTOS",2015
6790064,2,1,1,F,58,4,1,G,-,0,"SANTA CLARA","LOS ALTOS",2015
6808775,1,1,4,F,62,4,1,P,V,0,"SANTA CLARA","LOS ALTOS",2015
6809978,1,1,2,F,52,2,3,P,G,0,"SANTA CLARA","LOS ALTOS",2015
6809978,1,2,1,M,57,4,1,P,G,0,"SANTA CLARA","LOS ALTOS",2015
6809978,2,1,1,M,38,2,1,P,G,0,"SANTA CLARA","LOS ALTOS",2015
6812074,1,1,4,M,36,3,9,-,-,3,"SANTA CLARA","LOS ALTOS",2015
6830412,2,1,4,M,61,2,1,N,V,1,"SANTA CLARA","LOS ALTOS",2015
6830630,1,1,4,M,51,3,1,P,W,0,"SANTA CLARA","LOS ALTOS",2015
6835020,2,1,1,M,56,3,1,L,G,0,"SANTA CLARA","LOS ALTOS",2015
6835021,2,1,1,F,43,4,1,M,G,0,"SANTA CLARA","LOS ALTOS",2015
6837599,2,1,3,F,53,3,9,N,-,0,"SANTA CLARA","LOS ALTOS",2015
6837849,2,1,1,M,68,4,1,L,G,0,"SANTA CLARA","LOS ALTOS",2015
6852138,1,1,2,F,33,3,3,L,G,0,"SANTA CLARA","LOS ALTOS",2015
6852138,1,2,1,M,28,3,1,L,G,0,"SANTA CLARA","LOS ALTOS",2015
6860498,2,1,1,F,50,4,1,M,G,0,"SANTA CLARA","LOS ALTOS",2015
6860502,2,1,4,M,54,4,1,P,W,1,"SANTA CLARA","LOS ALTOS",2015
6860518,1,1,1,F,22,4,1,L,G,0,"SANTA CLARA","LOS ALTOS",2015
6860518,2,1,1,M,35,4,1,M,G,0,"SANTA CLARA","LOS ALTOS",2015
6861025,1,1,1,F,81,3,1,M,G,0,"SANTA CLARA","LOS ALTOS",2015
6866330,1,1,2,M,8,4,3,L,G,0,"SANTA CLARA","LOS ALTOS",2015
6866330,1,2,2,M,6,3,6,M,G,0,"SANTA CLARA","LOS ALTOS",2015
6866330,1,3,1,F,65,4,1,L,G,0,"SANTA CLARA","LOS ALTOS",2015
6875601,1,1,1,M,17,3,1,M,J,0,"SANTA CLARA","LOS ALTOS",2015
6875617,1,1,1,F,46,4,1,M,G,0,"SANTA CLARA","LOS ALTOS",2015
6888764,1,1,4,F,47,3,1,P,W,3,"SANTA CLARA","LOS ALTOS",2015
6888764,2,1,4,M,47,2,1,P,W,3,"SANTA CLARA","LOS ALTOS",2015
6907284,1,1,2,M,998,0,3,-,B,0,"SANTA CLARA","LOS ALTOS",2015
6907284,2,1,4,M,60,3,1,-,W,0,"SANTA CLARA","LOS ALTOS",2015
6907288,2,1,1,F,57,4,1,M,G,0,"SANTA CLARA","LOS ALTOS",2015
6907308,2,1,1,M,17,3,1,L,G,0,"SANTA CLARA","LOS ALTOS",2015
6907308,2,2,2,M,18,0,3,L,G,0,"SANTA CLARA","LOS ALTOS",2015
6907312,1,1,4,F,13,4,1,P,W,0,"SANTA CLARA","LOS ALTOS",2015
6907316,2,1,2,M,2,0,4,P,Q,0,"SANTA CLARA","LOS ALTOS",2015
6907316,2,2,1,F,34,4,1,M,J,0,"SANTA CLARA","LOS ALTOS",2015
6908881,1,1,1,F,17,3,1,M,G,0,"SANTA CLARA","LOS ALTOS",2015
6914256,1,1,2,F,998,3,3,L,G,0,"SANTA CLARA","LOS ALTOS",2015
6924788,2,1,4,M,10,3,9,-,-,3,"SANTA CLARA","LOS ALTOS",2015
6924796,2,1,4,F,47,3,1,P,W,0,"SANTA CLARA","LOS ALTOS",2015
6924812,2,1,2,F,9,4,4,M,G,3,"SANTA CLARA","LOS ALTOS",2015
6924812,2,2,2,F,6,0,6,M,G,3,"SANTA CLARA","LOS ALTOS",2015
6924816,2,1,1,M,19,3,1,P,W,1,"SANTA CLARA","LOS ALTOS",2015
6924824,1,1,2,F,22,4,3,L,-,0,"SANTA CLARA","LOS ALTOS",2015
6924824,2,1,2,M,0,0,5,P,-,0,"SANTA CLARA","LOS ALTOS",2015
6927781,1,1,1,M,66,3,1,L,J,0,"SANTA CLARA","LOS ALTOS",2015
6935367,1,1,1,F,47,3,1,L,G,0,"SANTA CLARA","LOS ALTOS",2015
6935367,1,2,2,M,998,4,3,L,G,0,"SANTA CLARA","LOS ALTOS",2015
6935367,1,3,2,F,998,4,4,P,G,0,"SANTA CLARA","LOS ALTOS",2015
6935367,1,4,2,M,8,0,6,L,G,0,"SANTA CLARA","LOS ALTOS",2015
6935367,2,1,1,F,36,3,1,M,G,0,"SANTA CLARA","LOS ALTOS",2015
6937716,1,1,1,F,23,3,1,L,G,0,"SANTA CLARA","LOS ALTOS",2015
6953168,1,1,2,F,76,0,3,M,-,0,"SANTA CLARA","LOS ALTOS",2015
